Frequency (Hz),	Level (dB)
43.066406	,-58.135685
86.132812	,-49.212414
129.199219	,-49.473663
172.265625	,-54.942883
215.332031	,-53.373425
258.398438	,-50.954174
301.464844	,-49.267784
344.531250	,-48.843746
387.597656	,-46.935085
430.664062	,-47.101231
473.730469	,-46.148235
516.796875	,-46.334019
559.863281	,-44.667423
602.929688	,-44.316536
645.996094	,-48.012913
689.062500	,-53.651119
732.128906	,-59.048313
775.195312	,-60.382515
818.261719	,-60.220436
861.328125	,-58.962673
904.394531	,-58.548649
947.460938	,-56.875870
990.527344	,-55.062527
1033.593750	,-53.469418
1076.660156	,-52.445717
1119.726562	,-52.535309
1162.792969	,-53.692635
1205.859375	,-54.519112
1248.925781	,-55.509613
1291.992188	,-55.914501
1335.058594	,-55.916477
1378.125000	,-52.907982
1421.191406	,-51.248257
1464.257812	,-50.309483
1507.324219	,-47.358501
1550.390625	,-44.279030
1593.457031	,-46.033840
1636.523438	,-49.474976
1679.589844	,-52.552963
1722.656250	,-53.554718
1765.722656	,-55.064926
1808.789062	,-55.451775
1851.855469	,-56.711372
1894.921875	,-57.900608
1937.988281	,-57.592144
1981.054688	,-58.224304
2024.121094	,-56.713196
2067.187500	,-56.698826
2110.253906	,-57.177929
2153.320312	,-57.050919
2196.386719	,-55.150791
2239.453125	,-52.767200
2282.519531	,-52.018940
2325.585938	,-54.419937
2368.652344	,-55.578220
2411.718750	,-55.368259
2454.785156	,-56.373390
2497.851562	,-57.278397
2540.917969	,-55.396240
2583.984375	,-56.451660
2627.050781	,-60.623238
2670.117188	,-61.525005
2713.183594	,-61.737682
2756.250000	,-61.726173
2799.316406	,-61.451626
2842.382812	,-60.462475
2885.449219	,-59.417057
2928.515625	,-61.690170
2971.582031	,-62.756111
3014.648438	,-61.502327
3057.714844	,-60.890049
3100.781250	,-63.914509
3143.847656	,-64.865883
3186.914062	,-63.584576
3229.980469	,-63.027271
3273.046875	,-62.333012
3316.113281	,-62.498241
3359.179688	,-63.594467
3402.246094	,-64.248749
3445.312500	,-63.770897
3488.378906	,-63.129581
3531.445312	,-62.140415
3574.511719	,-61.149670
3617.578125	,-62.079288
3660.644531	,-62.183418
3703.710938	,-62.292336
3746.777344	,-63.143211
3789.843750	,-63.268112
3832.910156	,-63.519260
3875.976562	,-64.039230
3919.042969	,-64.263565
3962.109375	,-64.400314
4005.175781	,-65.278839
4048.242188	,-65.324921
4091.308594	,-64.964088
4134.375000	,-65.055069
4177.441406	,-65.183197
4220.507812	,-65.430199
4263.574219	,-65.253563
4306.640625	,-63.746159
4349.707031	,-63.391159
4392.773438	,-65.422134
4435.839844	,-67.103645
4478.906250	,-68.127068
4521.972656	,-68.971367
4565.039062	,-68.771683
4608.105469	,-69.153366
4651.171875	,-69.801041
4694.238281	,-69.945351
4737.304688	,-70.234131
4780.371094	,-70.268257
4823.437500	,-70.160583
4866.503906	,-69.750298
4909.570312	,-69.698074
4952.636719	,-69.297348
4995.703125	,-68.146446
5038.769531	,-66.928276
5081.835938	,-66.177452
5124.902344	,-63.685520
5167.968750	,-64.627472
5211.035156	,-66.449654
5254.101562	,-66.888878
5297.167969	,-67.301239
5340.234375	,-68.737877
5383.300781	,-68.678062
5426.367188	,-68.490021
5469.433594	,-68.929604
5512.500000	,-69.422783
5555.566406	,-69.572403
5598.632812	,-70.416954
5641.699219	,-71.122452
5684.765625	,-71.338203
5727.832031	,-71.470528
5770.898438	,-71.736618
5813.964844	,-71.796440
5857.031250	,-72.593246
5900.097656	,-73.095818
5943.164062	,-73.282555
5986.230469	,-73.662262
6029.296875	,-73.109802
6072.363281	,-73.748978
6115.429688	,-74.127296
6158.496094	,-73.911125
6201.562500	,-74.278694
6244.628906	,-74.647720
6287.695312	,-75.146935
6330.761719	,-75.096985
6373.828125	,-75.213577
6416.894531	,-75.579842
6459.960938	,-75.779648
6503.027344	,-75.714607
6546.093750	,-76.326775
6589.160156	,-75.807007
6632.226562	,-75.172096
6675.292969	,-75.618599
6718.359375	,-75.803421
6761.425781	,-76.387268
6804.492188	,-76.682663
6847.558594	,-76.315147
6890.625000	,-76.144722
6933.691406	,-76.986389
6976.757812	,-78.009109
7019.824219	,-78.121910
7062.890625	,-78.420723
7105.957031	,-79.008789
7149.023438	,-78.732887
7192.089844	,-79.669403
7235.156250	,-80.625320
7278.222656	,-81.220016
7321.289062	,-81.754951
7364.355469	,-81.840218
7407.421875	,-82.568253
7450.488281	,-83.108826
7493.554688	,-82.823418
7536.621094	,-82.267052
7579.687500	,-82.967667
7622.753906	,-82.952629
7665.820312	,-83.325027
7708.886719	,-84.195572
7751.953125	,-84.416550
7795.019531	,-83.807930
7838.085938	,-83.803886
7881.152344	,-85.056267
7924.218750	,-85.704750
7967.285156	,-85.650726
8010.351562	,-85.943176
8053.417969	,-86.280411
8096.484375	,-87.085594
8139.550781	,-88.540337
8182.617188	,-88.990982
8225.683594	,-89.829941
8268.750000	,-90.316658
8311.816406	,-91.464203
8354.882812	,-92.587303
8397.949219	,-93.703430
8441.015625	,-94.882431
8484.082031	,-95.167023
8527.148438	,-95.409836
8570.214844	,-96.400520
8613.281250	,-98.311005
8656.347656	,-98.862236
8699.414062	,-100.830505
8742.480469	,-104.057961
8785.546875	,-102.022545
8828.613281	,-100.425018
8871.679688	,-100.837952
8914.746094	,-101.198235
8957.812500	,-102.551994
9000.878906	,-103.532295
9043.945312	,-104.608391
9087.011719	,-106.094215
9130.078125	,-106.874306
9173.144531	,-107.393753
9216.210938	,-109.088531
9259.277344	,-109.799980
9302.343750	,-111.633163
9345.410156	,-115.323486
9388.476562	,-117.326927
9431.542969	,-118.962608
9474.609375	,-121.119820
9517.675781	,-119.403015
9560.742188	,-118.144142
9603.808594	,-120.304283
9646.875000	,-122.898888
9689.941406	,-123.630112
9733.007812	,-123.627136
9776.074219	,-123.303261
9819.140625	,-123.349228
9862.207031	,-123.574158
9905.273438	,-123.508469
9948.339844	,-123.622375
9991.406250	,-123.448776
10034.472656	,-123.588707
10077.539062	,-123.452225
10120.605469	,-123.447006
10163.671875	,-123.539215
10206.738281	,-123.641609
10249.804688	,-123.381218
10292.871094	,-123.364525
10335.937500	,-123.418922
10379.003906	,-123.440742
10422.070312	,-123.266129
10465.136719	,-123.243011
10508.203125	,-123.392723
10551.269531	,-123.430885
10594.335938	,-123.391716
10637.402344	,-123.474525
10680.468750	,-123.462189
10723.535156	,-123.331795
10766.601562	,-123.360916
10809.667969	,-123.523277
10852.734375	,-123.477737
10895.800781	,-123.439148
10938.867188	,-123.312119
10981.933594	,-123.340698
11025.000000	,-123.513405
11068.066406	,-123.569786
11111.132812	,-123.430023
11154.199219	,-123.383934
11197.265625	,-123.503746
11240.332031	,-123.660545
11283.398438	,-123.624748
11326.464844	,-123.423759
11369.531250	,-123.298080
11412.597656	,-123.493591
11455.664062	,-123.548630
11498.730469	,-123.442360
11541.796875	,-123.604225
11584.863281	,-123.483116
11627.929688	,-123.313698
11670.996094	,-123.392151
11714.062500	,-123.498787
11757.128906	,-123.423477
11800.195312	,-123.379501
11843.261719	,-123.441765
11886.328125	,-123.573700
11929.394531	,-123.275627
11972.460938	,-123.267120
12015.527344	,-123.297211
12058.593750	,-123.107101
12101.660156	,-123.260002
12144.726562	,-123.162498
12187.792969	,-123.498718
12230.859375	,-123.598045
12273.925781	,-123.304939
12316.992188	,-123.460724
12360.058594	,-123.413757
12403.125000	,-123.457779
12446.191406	,-123.611443
12489.257812	,-123.517982
12532.324219	,-123.650673
12575.390625	,-123.415352
12618.457031	,-123.448875
12661.523438	,-123.464867
12704.589844	,-123.254150
12747.656250	,-123.351082
12790.722656	,-123.373817
12833.789062	,-123.459465
12876.855469	,-123.280327
12919.921875	,-123.273415
12962.988281	,-123.550262
13006.054688	,-123.515923
13049.121094	,-123.382446
13092.187500	,-123.362213
13135.253906	,-123.539474
13178.320312	,-123.378601
13221.386719	,-123.392555
13264.453125	,-123.524086
13307.519531	,-123.359650
13350.585938	,-123.494453
13393.652344	,-123.566200
13436.718750	,-123.289337
13479.785156	,-123.320915
13522.851562	,-123.359375
13565.917969	,-123.382965
13608.984375	,-123.483231
13652.050781	,-123.476967
13695.117188	,-123.510368
13738.183594	,-123.460686
13781.250000	,-123.484673
13824.316406	,-123.485771
13867.382812	,-123.424736
13910.449219	,-123.478249
13953.515625	,-123.184120
13996.582031	,-123.004852
14039.648438	,-123.347176
14082.714844	,-123.503792
14125.781250	,-123.635147
14168.847656	,-123.314072
14211.914062	,-123.229858
14254.980469	,-123.277596
14298.046875	,-123.220703
14341.113281	,-123.584923
14384.179688	,-123.549187
14427.246094	,-123.439667
14470.312500	,-123.421547
14513.378906	,-123.365501
14556.445312	,-123.458199
14599.511719	,-123.611862
14642.578125	,-123.530144
14685.644531	,-123.613579
14728.710938	,-123.382637
14771.777344	,-123.131584
14814.843750	,-123.471802
14857.910156	,-123.451088
14900.976562	,-123.487335
14944.042969	,-123.709869
14987.109375	,-123.481110
15030.175781	,-123.395241
15073.242188	,-123.498566
15116.308594	,-123.495575
15159.375000	,-123.546417
15202.441406	,-123.482750
15245.507812	,-123.466217
15288.574219	,-123.528145
15331.640625	,-123.589767
15374.707031	,-123.603065
15417.773438	,-123.660156
15460.839844	,-123.445694
15503.906250	,-123.426895
15546.972656	,-123.303711
15590.039062	,-123.267357
15633.105469	,-123.389473
15676.171875	,-123.546402
15719.238281	,-123.587753
15762.304688	,-123.367180
15805.371094	,-123.326256
15848.437500	,-123.516602
15891.503906	,-123.431618
15934.570312	,-123.232300
15977.636719	,-123.252312
16020.703125	,-123.563889
16063.769531	,-123.581032
16106.835938	,-123.745567
16149.902344	,-123.743515
16192.968750	,-123.401199
16236.035156	,-123.406525
16279.101562	,-123.484779
16322.167969	,-123.539879
16365.234375	,-123.652122
16408.300781	,-123.538345
16451.367188	,-123.288704
16494.433594	,-123.272209
16537.500000	,-123.367149
16580.566406	,-123.486427
16623.632812	,-123.237274
16666.699219	,-123.336739
16709.765625	,-123.433472
16752.832031	,-123.325287
16795.898438	,-123.573593
16838.964844	,-123.667603
16882.031250	,-123.479919
16925.097656	,-123.502701
16968.164062	,-123.407318
17011.230469	,-123.322876
17054.296875	,-123.274712
17097.363281	,-123.167480
17140.429688	,-123.415619
17183.496094	,-123.427795
17226.562500	,-123.456200
17269.628906	,-123.496262
17312.695312	,-123.316429
17355.761719	,-123.282784
17398.828125	,-123.183434
17441.894531	,-123.291939
17484.960938	,-123.450790
17528.027344	,-123.576591
17571.093750	,-123.560249
17614.160156	,-123.337738
17657.226562	,-123.496529
17700.292969	,-123.538979
17743.359375	,-123.373367
17786.425781	,-123.367790
17829.492188	,-123.274765
17872.558594	,-123.270721
17915.625000	,-123.377411
17958.691406	,-123.440796
18001.757812	,-123.570442
18044.824219	,-123.680359
18087.890625	,-123.496147
18130.957031	,-123.567841
18174.023438	,-123.537399
18217.089844	,-123.563423
18260.156250	,-123.686989
18303.222656	,-123.688919
18346.289062	,-123.741020
18389.355469	,-123.636375
18432.421875	,-123.456482
18475.488281	,-123.228607
